,overall,reviewText
10,5.0,This is one of my favorite animated movies. I remember watching this when I was a kid and just saw that it was on DVD the other day. I literally jumped up and started freaking out when I saw it. I have it on VHS but the tape is so old and the box is worn so when I saw it on DVD I instantly got it. This movie is great for all ages and no matter how many times you watch it you don't tire from it. The songs are fun and will make you sing along everytime you hear them. Another classic that remains one of my favs.
11,2.0,"A journalist and his friend go to Las Vegas to cover a race. They also go there on a ton of drugs. This film shows them in colorful Las Vegas freaking out at everything, while on the drugs. During the film we get to hear the protagonists comments on life in America.  It is very bizarre. Now bizarre can be good, but in this case its boring and not very interesting. The characters and story aren't good. You are just thrown in the drugged up world of these two guys, and it all appears very silly. I give this 2 stars, because I can see how some counter culture type people might like this. I hear the book is much better. Some parts are funny, but the rest of the film is nearly unwatchable. If you like psychedelic trips, this film is for you. As the 60s ended, so did the idea that drugs would bring freedom and enlightenment. All it brought were a lot of headaches.
ATTENTION: If you plan to buy this, I suggest you wait until January 28, 2003 when a Special Edition will be released with a ton of extra material, by Criterion Collection."
12,4.0,"I rented this DVD after catching the beginning of this movie on TV. Kevin Bacon and Kathryn Erbe are a realistic couple - not overly attractive, they live in a gritty Chicago neighborhood and they like to party. During one party Kevin Bacon is hypnotized by his sister-in-law (played divinely by Illeana Douglas) and he starts seeing strange things. Quite convinced he is freaking out, he is haunted by the disturbing visions, until he finally embraces them and the pieces of the puzzle fall together and a neighborhood murder is solved. During the course of the film, it is also discovered his son has the gift.

This movie's best point is that it is scary without being gross-out gory, but the ending is kind of weird. The special features are decent enough and it holds up for repeated viewings."
13,5.0,"While Ridley Scott developed a Philip K. Dick work into a subtle and contemplative masterpiece, director Paul Verhoeven took a more action-packed and mind-bending approach with his film. Is it better? They're almost impossible to compare. Blade Runner is probably of more cultural and cinematic significance, but Total Recall certainly has the edge when it comes to the pure entertainment department. As soon as Arnie starts freaking out in that Rekall chair, the film's pace hardly slackens for the rest of its silly ride and the action is bloody good fun. Verhoeven was the perfect director for this kind of project, mostly because of his stylish yet trained camerawork. Some directors are made for action, others for drama. Paul isn't inept when it comes to drama, but it's obvious he's most comfortable and effective with a fast storyline. The role of Quaid/Hauser probably would have benefitted from a more refined actor than Schwarzenegger, who is only slightly above Tommy Wiseau in versatility; however, Arnold has a quality about him that makes not only the character he plays more memorable, but the film as a whole. He works well in zany, unbelievable scenarios, and this film is certainly in that jurisdiction. Total Recall has twists aplenty, thrilling action sequences, Arnie being Arnie, cool production design, and a mutant prostitute with three breasts. What more can an audience ask for?"
14,5.0,"There's no doubt in my mind that Arnold Schwarzeneggar is the greatest action star of all time. He's been in so many great movies, like True Lies, Predator, and, of course, the awesome Terminator movies, but one film of his that I find incredibly entertaining is the brilliant sci-fi flick Total Recall.

In the film, Arnold plays Douglas Quiad, a man who dreams of one day visiting Mars, which, in the future, is in a constant state of violence thanks to a group of rebels who demand cheaper air. Unable to convince his wife to vacation there, Doug goes to a place called `Total Recall', where he pays to have a memory of mars implanted into his brain, eliminating the necessity of going on an actual trip. As a bonus, he requests that the memory he receives will be of him as a secret agent, as opposed to an average joe.

As soon as the procedure begins, Doug starts freaking out on the technicians, who instantly put him back to sleep. While he's asleep, they inform us that his memory has been previously erased, and that they accidently brought it back to life. When Jack wakes up, once again unable to remember what happened, he is immediately thrown into a world of secret agents, as he's chased by a criminal all the way to Mars, where he realizes that his entire existence is an elaborate conspiracy, orchestrated by the evil air company.

The story is absolutely engrossing. There's action every step of the way, and the plot has more twists and turns than anything made by M. Night Shamamamalsnan. Even though on the outside it may seem like standard action fare, the film is loaded with thought-provoking materia. The ending, in particular, requires the viewer to decide for themselves what has happened.

For a film made in 1990, the special effects are absolutely incredible. Actually, the effects in this movie look much better than the lazy CGI that congests modern sci-fi movies (with a few exceptions, district 9 being one of them). The make-up effects are something to be proud of as well, especially the Kuato puppet, which looks hideous yet awesome at the same time. And, of course, there's the infamous lady with three boobs. The sets on Mars are impressive too, with the whole place coming across as a scummier version of Mos Eisley.

Total Recall is an incredible action film, an incredible sci-fi film, and an icredible film in general. It succeeds on every level, and it's entertaining as hell. It's best of it's kind, and I love it."
15,3.0,"Jodie Foster (Panic Room, Nell) stars as Kyle Pratt, an engineer from Berlin who, with her daughter Julia, played by Marlene Lawston, are going back to New York and bring along her dead husband in a coffin. So, they get on the plane and Foster falls asleep, awakened to find that her daughter is nowhere in sight. So, she goes frantically around the huge plane looking for her daughter, freaking out passengers and wanting there to be a search for her missing daughter. There's an air plane marshall named Carson, played by Peter Sarsgaard (Jarhead, Shattered Glass), on board who guards Foster throughout the movie leading the search. Captain Rich is played by Sean Bean (National Treasure, The Island), plus Foster finds out that her daughter was never put on the manifest and she finds out that the daughter died right along with the husband but Foster doesnt believe that. Pretty decent thriller was some clever things here and there has only to offer Jodie Foster's top notch performance and Peter Sarsgaard's twisted marshall to keep it at bay. Toward's the finale end, its way too perdictable from there. Not bad and worth a look. Also starring Erika Christensen (Swimfan, Home Room), Kate Beahan (Matrix Revolutions, Lost Souls) and Christopher Gartin (Tremors 2: Aftershocks, Johns)"
16,3.0,"Jodie Foster (Panic Room, Nell) stars as Kyle Pratt, an engineer from Berlin who, with her daughter Julia, played by Marlene Lawston, are going back to New York and bring along her dead husband in a coffin. So, they get on the plane and Foster falls asleep, awakened to find that her daughter is nowhere in sight. So, she goes frantically around the huge plane looking for her daughter, freaking out passengers and wanting there to be a search for her missing daughter. There's an air plane marshall named Carson, played by Peter Sarsgaard (Jarhead, Shattered Glass), on board who guards Foster throughout the movie leading the search. Captain Rich is played by Sean Bean (National Treasure, The Island), plus Foster finds out that her daughter was never put on the manifest and she finds out that the daughter died right along with the husband but Foster doesnt believe that. Pretty decent thriller was some clever things here and there has only to offer Jodie Foster's top notch performance and Peter Sarsgaard's twisted marshall to keep it at bay. Toward's the finale end, its way too perdictable from there. Not bad and worth a look. Also starring Erika Christensen (Swimfan, Home Room), Kate Beahan (Matrix Revolutions, Lost Souls) and Christopher Gartin (Tremors 2: Aftershocks, Johns)"
17,3.0,"Ya know, it's sad when a fun family film like this can be bogged down by worthless PC garbage. I never saw this movie in the theater, I almost didn't even rent it. Why? Because every review or shred of information I read pointed to the character designs. Junk like ""It's so wonderful to see an empowered female character who doesn't fit the barbie cookie-cutter design."" and utter non-sense like that. I figured, judging from what I'd heard, it was nothing but Disney PC garbage. I should have trusted Disney's sense more than that.
Look folks, it's simple. Lilo is slightly overweight and so are a few other characters in the movie. Other characters are very fit and lean. There's a wide mix and this is NOTHING new. This is NOT some kind of PC garbage, this is not woman empowerment, and this has NOTHING to do with the movie. It doesn't make them look ""real"", it doesn't change a freaking thing from any other movie. It's just one tiny little aspect that these lifeless morons decided they wanted make center stage. The characters and locations are wonderfully drawn and animated, and each have their own style.
This of course leads to senseless bashing of all the Disney women of the past. How low can people stoop. I've heard so much garbage now about how Ariel, Jasmine, and the rest are such awful role models for girls. Get a freakin life. Ariel is a MERMAID for crying out loud, and Jasmine's a princess. How can you think that the active, healthy women of Disney films would not LOOK healthy! It's mind numbing.
But, enough of that. Less than 15 minutes into the movie you'll realize this has all been blown so far out of proportion it's not funny, and forget all about it. Disney has put together a movie that's funny, action packed, and filled with great characters. Lilo is a bit of a brat, which is just plain hilarious. It's the only way a relationship between her and Stitch would be even slightly believable. Her older sister Nani is a little pointless, but fills the role none the less. Cobra Bubbles is a stretch to believe, but hey... why not. He's entertaining, and his voice booms loudly over the sub-woofer. It's just fun to hear him talk.
It's far from one of Disney's best, and it's largely forgettable. But hey, it's worth a rental and it's got some good laughs. You'll be hard pressed not to love Stitch no matter what you think of the movie. It's worth renting just to see him alone, but the movie itself should keep you entertained as well. It's not a classic, but it is fun hour and a half... and that's all I expected.
- Rirath_com"
18,5.0,"I love when seagal does accents.

Just makes me roll an howl in laughter esp since he does it for first 10min then froget it for rest of movie then does it for last 2 minutes of film.

freaking awesome comedy

fight scenes are plentiful here and wanyanans doesnt ruin it at all and is kinda minimal in it"
19,5.0,"""Dirty"" Harry Callahan is one of those iconic characters that stands apart from the crowd. Who hasn't heard someone say, ""You've got to ask yourself one question: Do I feel lucky? Well, do ya, punk?""

And he certainly lives up to the legend in ""Dirty Harry,"" a grimy cop thriller where morals are grey and justice isn't always served by the law. Clint Eastwood gives a quietly menacing performance that dominates every scene he's in, and sets up the standard for world-weary cops who aren't afraid to get their hands dirty in pursuit of justice.

A serial killer referred to as ""Scorpio"" is killing people in San Francisco, and even sends a letter to the police demanding money. If he doesn't get his way, he's going to kill again. The man on the case is Detective ""Dirty"" Harry Callahan (Eastwood), who manages to thwart Scorpio's efforts to kill a Catholic priest. The serial killer is so enraged that he rapes and buries a young girl alive, and threatens the police with her death if they don't give in to his demands.

Harry is sent on a wild chase through San Francisco with a giant bag of money, and eventually is able to corner and stop the Scorpio killer (Andrew Robinson). Unfortunately for everybody, Harry's ruthless treatment of Scorpio leads to the killer being released -- and now he's determined to frame Harry as revenge. It's up to Harry to take the law into his own hands before Scorpio kills again.

""Dirty Harry"" actually has a very simple story, loosely based on the Zodiac killings in the 1970s. The really memorable part of the movie is the presentation -- this was a cop story where innocents frequently die, the killer walks free sometimes, and the ""hero"" isn't particularly heroic. There's nothing romanticized or tidy about Dirty Harry's world.

And a lot of that comes from Eastwood himself. His performance as Callahan is the stuff of cinematic legend -- he's an anti-hero with nerves like barbed wire and eyes like steel buttons, and he cares far more about justice than law. What matters most to him is saving innocent lives and stopping the killer, and sometimes he has to step outside the law to do so.

And while Eastwood starts off as a simple cop protagonist, his presence grows more imposing as the story winds on. This isn't hurt by the demonstrations of his badassery -- such as threatening a robber with the legendary ""Do ya, punk? question"", then strolling off on a bloodied leg.

Director Don Siegel gives the movie a gritty, slightly grimy feel, with Callahan drifting through sleazy strip clubs, abandoned rock quarries and the occasional rooftop with a suicidal person clinging to it. And it has a strong feeling of realism, even during the more ""Hollywood"" scenes -- when Harry leaps off a bridge onto the roof of a schoolbus, it doesn't look like a stunt. It looks REAL.

He also injects a note of shocking horror into some of the scenes, such as when Robinson's Scorpio begins crazily threatening children when they start freaking out. It's especially scary because we've seen innocent people killed by this maniac, so we know he's perfectly capable of hurting the children.

""Dirty Harry"" became an instant classic for a reason -- not only does it introduce us to the gritty anti-hero cop, but it let the world know that Clint Eastwood was a legend. Harrowing, brilliant and bloody."
20,5.0,freaking awesome
21,2.0,"This is a weird freaking movie. The only redeeming quality is that Ford is as yummy as ever. I think this movie may have some value in a timeline with other films but honestly, even though everyone says it's great, I just don't see it. It's weird and boring.

The spandex and/or Ford might keep your attention, but the plot won't."
22,3.0,"Warner didn't took advantage of the DVD format by adding the special features(like the theatrical trailer) and a 5.1 soundtrack. I had to tune up the volume up to 20 decibels(I own a home theatre system). The picture quality looks better than the 97 release though. I didn't buy this new DVD because I borrowed it from a friend and Warner did not do a good job with this years release. I hope next years release is better like the size of a mammoth loaded with lots of goodies. We'll see.

Roy Batty is freaking hilarious in his last minutes of his life. :)"
23,5.0,Its the freaking Titanic! Whats not to love?!  I'm pretty sure I have seen this move at least 20 times and it never gets old!
24,5.0,"This movie is a real inspiration to me. I too long to have Swayzes ""a** in my trophy room."" Hey, who wouldn't? You don't mess with Dalton. He'll rip your freaking throat out (spoiler alert!) But he'll be really conflicted about it. Because, philosophy. and Tai Chi."
25,5.0,"I absolutely adore this movie. Not only does it bring back good memories as a teenager, I also liked Heather in this movie. It is very sad she died at the age of 12 in Feb. 1988. Had she lived, I think she would have had more acting roles, if she wanted them.
For me growing up as a teen in the '80s, it was a nice time in my life. Being 16 in Nov. 1982, I saw this for the first time on cable TV, which was a new thing in those years. So, I really never got to see it in the theater or as a ""widescreen"" movie until later on when DVDs first started to come out.
This edition has definitely cleaned it up as it probably has never looked this good since it's debut in the theater. The sound and picture quality are fantastic, even for DVD format. I watched this on a 60 inch Samsung LED TV with 3D surround sound. The extra features they added to this are ok, but could have been better. Come on WB! This is the 25th Anniversary, can you please make an attempt to at least bring over some of the features from the Laserdisc and the Theatrical Trailer? Although I rank this movie a classic in my book with fond remembrances, the special features could have been much better.
WB, MGM, and MIRAMAX are apparently going down in Blu-ray history for making skimpy bare bones discs with little or no extras on them. MGM being the worst as some Blu-rays don't even have a freaking menu.
Paramount and Fox are the leaders in this format, for me anyway. I own at least 500 Blu-rays as of this writing. I have still a few hundred DVDs, some not worth an upgrade, but most I have replaced as far superior editions.
As quality of the film and sound itself, a definite improvement here over previous editions. 5 stars.  I think we can all agree on that, but to put out a 25th Anniversary with a few ""poltergeist"" doctors features, it doesn't do this edition justice for overall acceptance of the movie's fans. GET IT RIGHT WB!

Perhaps in the future, we can get a nice package with ALL movies and added features together in one box set which would include the Theatrical Trailers!  The added features already exist, plus they can make some new ones with Craig T. and JoBeth Williams discussing the making of the movie. I am sure they would love to do it.
Heck, if Barbara Steele (Queen of Gothic Horror) can come and do one on several of her movies and career, surely they can.
Widescreen, Dolby Digital 5.1 Digitally restored and remastered picture."
